"","x"
"957","ENSG00000237289"
"958","ENSG00000223572"
"959","ENSG00000131730"
"960","ENSG00000049167"
"961","ENSG00000173207"
"962","ENSG00000123975"
"963","ENSG00000161203"
"964","ENSG00000106367"
"965","ENSG00000042753"
"966","ENSG00000177879"
"967","ENSG00000105205"
"968","ENSG00000016490"
"969","ENSG00000188037"
"970","ENSG00000114859"
"971","ENSG00000109572"
"972","ENSG00000073464"
"973","ENSG00000171365"
"974","ENSG00000011021"
"975","ENSG00000103249"
"976","ENSG00000186510"
"977","ENSG00000184908"
"978","ENSG00000120885"
"979","ENSG00000213719"
"980","ENSG00000226651"
"981","ENSG00000230685"
"982","ENSG00000223639"
"983","ENSG00000226417"
"984","ENSG00000226248"
"985","ENSG00000206394"
"986","ENSG00000155962"
"987","ENSG00000013441"
"988","ENSG00000176444"
"989","ENSG00000261893"
"990","ENSG00000179335"
"991","ENSG00000166340"
"992","ENSG00000188603"
"993","ENSG00000261832"
"994","ENSG00000102805"
"995","ENSG00000213335"
"996","ENSG00000074201"
"997","ENSG00000137392"
"998","ENSG00000104853"
"999","ENSG00000122705"
"1000","ENSG00000175416"
"1001","ENSG00000141367"
"1002","ENSG00000092009"
"1003","ENSG00000163823"
"1004","ENSG00000183625"
"1005","ENSG00000183813"
"1006","ENSG00000160791"
"1007","ENSG00000112486"
"1008","ENSG00000126353"
"1009","ENSG00000179934"
"1010","ENSG00000144648"
"1011","ENSG00000174600"
"1012","ENSG00000213903"
"1013","ENSG00000285456"
"1014","ENSG00000023839"
"1015","ENSG00000070729"
"1016","ENSG00000198515"
"1017","ENSG00000183862"
"1018","ENSG00000144191"
"1019","ENSG00000132259"
"1020","ENSG00000173846"
"1021","ENSG00000130176"
"1022","ENSG00000064666"
"1023","ENSG00000117519"
"1024","ENSG00000173786"
"1025","ENSG00000118432"
"1026","ENSG00000188822"
"1027","ENSG00000242689"
"1028","ENSG00000122756"
"1029","ENSG00000018236"
"1030","ENSG00000108821"
"1031","ENSG00000164692"
"1032","ENSG00000139219"
"1033","ENSG00000168542"
"1034","ENSG00000291748"
"1035","ENSG00000187498"
"1036","ENSG00000134871"
"1037","ENSG00000169031"
"1038","ENSG00000081052"
"1039","ENSG00000188153"
"1040","ENSG00000197565"
"1041","ENSG00000130635"
"1042","ENSG00000204262"
"1043","ENSG00000142156"
"1044","ENSG00000142173"
"1045","ENSG00000163359"
"1046","ENSG00000114270"
"1047","ENSG00000144810"
"1048","ENSG00000171812"
"1049","ENSG00000112280"
"1050","ENSG00000049089"
"1051","ENSG00000092758"
"1052","ENSG00000123500"
"1053","ENSG00000060718"
"1054","ENSG00000204248"
"1055","ENSG00000232541"
"1056","ENSG00000223699"
"1057","ENSG00000227801"
"1058","ENSG00000206290"
"1059","ENSG00000235708"
"1060","ENSG00000230930"
"1061","ENSG00000111799"
"1062","ENSG00000197467"
"1063","ENSG00000204291"
"1064","ENSG00000084636"
"1065","ENSG00000065618"
"1066","ENSG00000082293"
"1067","ENSG00000105664"
"1068","ENSG00000093010"
